order_group	component_id	campaign	ownership_unit	dependency_units	source_count
2	component-021	shader-build-authority	shader:source:atomic_init	shader:source:atomic_base	1
2	component-022	shader-build-authority	shader:source:atomic_resolve	shader:source:atomic_base	1
2	component-023	shader-build-authority	shader:source:atomic_resolve_coalesced	shader:source:atomic_base	1
2	component-032	shader-build-authority	shader:source:draw_atlas_blit	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_mesh;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-033	shader-build-authority	shader:source:draw_clockwise_atlas_blit	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_mesh;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-034	shader-build-authority	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_mesh;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-035	shader-build-authority	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
2	component-037	shader-build-authority	shader:source:draw_clockwise_atomic_clip	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
2	component-040	shader-build-authority	shader:source:draw_clockwise_atomic_image_mesh	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_image_mesh;shader:source:draw_mesh;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-041	shader-build-authority	shader:source:draw_clockwise_atomic_path	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
2	component-043	shader-build-authority	shader:source:draw_clockwise_clip	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
2	component-045	shader-build-authority	shader:source:draw_clockwise_image_mesh	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_image_mesh;shader:source:draw_mesh;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-046	shader-build-authority	shader:source:draw_clockwise_path	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
2	component-050	shader-build-authority	shader:source:draw_interior_triangles	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path;shader:source:draw_path_common;shader:source:draw_raster_order_path;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-052	shader-build-authority	shader:source:draw_msaa_atlas_blit	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_msaa_object;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-053	shader-build-authority	shader:source:draw_msaa_color_seed_attachment	shader:source:common;shader:source:constants;shader:source:draw_input_attachment;shader:source:flush_uniforms;shader:source:glsl	1
2	component-054	shader-build-authority	shader:source:draw_msaa_image_mesh	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_image_mesh;shader:source:draw_msaa_object;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-055	shader-build-authority	shader:source:draw_msaa_path	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_msaa_object;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
2	component-064	shader-build-authority	shader:source:render_atlas_fill	shader:source:render_atlas_common	1
2	component-065	shader-build-authority	shader:source:render_atlas_stroke	shader:source:render_atlas_common	1
2	component-085	webgl2	webgl2:ore:buffer	webgl2:renderer:load_gles_extensions	3
2	component-086	webgl2	webgl2:ore:pipeline	webgl2:renderer:load_gles_extensions	3
2	component-088	webgl2	webgl2:ore:sampler	webgl2:renderer:load_gles_extensions	3
2	component-089	webgl2	webgl2:ore:shader_module	webgl2:renderer:load_gles_extensions	3
2	component-087	webgl2	webgl2:ore:texture	webgl2:renderer:load_gles_extensions	3
2	component-092	webgl2	webgl2:renderer:render_buffer_gl_impl	webgl2:renderer:gl_state;webgl2:renderer:gles3	2
2	component-102	webgpu	webgpu:ore:bind_group_layout	webgpu:wagyu:webgpu_cpp	1
2	component-104	webgpu	webgpu:ore:sampler	webgpu:wagyu:webgpu_cpp	2
2	component-106	webgpu	webgpu:ore:shader_module	webgpu:wagyu:webgpu_cpp	2
2	component-105	webgpu	webgpu:ore:texture	webgpu:wagyu:webgpu_cpp	2
2	component-107	webgpu	webgpu:ore:wgpu_layout	webgpu:wagyu:webgpu_cpp	1
3	component-036	shader-build-authority	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_clockwise_atomic_borrowed_coverage;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
3	component-038	shader-build-authority	shader:source:draw_clockwise_atomic_clip_interior_triangles	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_clockwise_atomic_clip;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
3	component-042	shader-build-authority	shader:source:draw_clockwise_atomic_interior_triangles	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_clockwise_atomic_path;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
3	component-044	shader-build-authority	shader:source:draw_clockwise_clip_interior_triangles	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_clockwise_clip;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
3	component-047	shader-build-authority	shader:source:draw_clockwise_interior_triangles	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_clockwise_path;shader:source:draw_path;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
3	component-093	webgl2	webgl2:ore:context	webgl2:ore:bind_group;webgl2:ore:buffer;webgl2:ore:pipeline;webgl2:ore:render_pass;webgl2:ore:sampler;webgl2:ore:shader_module;webgl2:ore:texture;webgl2:renderer:load_gles_extensions;webgl2:renderer:render_target	3
3	component-093	webgl2	webgl2:ore:render_pass	webgl2:ore:bind_group;webgl2:ore:buffer;webgl2:ore:context;webgl2:ore:pipeline;webgl2:ore:texture;webgl2:renderer:load_gles_extensions	3
3	component-093	webgl2	webgl2:renderer:render_context_gl_impl	shader:source:advanced_blend;shader:source:atomic_draw;shader:source:bezier_utils;shader:source:blit_texture_as_draw;shader:source:color_ramp;shader:source:common;shader:source:constants;shader:source:draw_clockwise_clip;shader:source:draw_clockwise_path;shader:source:draw_image_mesh;shader:source:draw_mesh;shader:source:draw_msaa_object;shader:source:draw_path;shader:source:draw_path_common;shader:source:draw_raster_order_path;shader:source:flush_uniforms;shader:source:render_atlas;shader:source:resolve_atlas;shader:source:stencil_draw;shader:source:tessellate;webgl2:ore:context;webgl2:renderer:gl_state;webgl2:renderer:gl_utils;webgl2:renderer:render_buffer_gl_impl;webgl2:renderer:render_target	2
