source_path	source_sha256	evidence_kind	evidence_count	cutover_disposition	cutover_status
crates/nuxie-renderer/src/generated/atomic_init.webgpu_frag.wgsl	08c2177cce6ec0445aea3e917501fc3abc3a1ae5dfe898cc9abdbb3af1dd5751	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/atomic_init.webgpu_vert.wgsl	e3a8cb8d14c57cba602ec838493d1d4d1c05216074c0b8d65937ff1ad87cbb28	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/atomic_resolve.webgpu_fixedcolor_frag.wgsl	6e78eec26ec1fdf92c28ef06fd15787618ea913b196f15bf2ba23547e21ff7c7	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/atomic_resolve.webgpu_frag.wgsl	71bd9df8e3edc555d28ef9b878f5cde8049b452b1118d936ce7039293d8742cb	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/atomic_resolve.webgpu_vert.wgsl	e3a8cb8d14c57cba602ec838493d1d4d1c05216074c0b8d65937ff1ad87cbb28	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/atomic_resolve_coalesced.webgpu_frag.wgsl	30b5655377e7e9d8d95d27870382f8e71931cb5323fdb3d3679fd52204fce9f7	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/atomic_resolve_coalesced.webgpu_vert.wgsl	e3a8cb8d14c57cba602ec838493d1d4d1c05216074c0b8d65937ff1ad87cbb28	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/blit_texture_as_draw_filtered.webgpu_frag.wgsl	a6ce41c43ebfa1941a9e8f78f6e4957fab2d4b17691f54925f2957bdeb6e552f	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/blit_texture_as_draw_filtered.webgpu_vert.wgsl	5276e3e865891e2635972dc7b745e1c466549875572074d2f72c4dff8d6ffade	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_clip.webgpu_fixedcolor_frag.wgsl	aefc2143de24ac08859d4663f72ad1e28d11826ed33485838348a192233c14d8	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_clip_interior_triangles.webgpu_fixedcolor_frag.wgsl	1775060e923e1407ddf9f783162a316ff5b6178a0e2a34c3f3b647fe4fef1635	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
