campaign	corpus_entry	primary_backend_id	mode	stream_sha256	run_a_replay_sha256	run_b_replay_sha256	adapter	run_a_png_sha256	run_b_png_sha256	observed_different_pixels	observed_max_channel_delta	frozen_max_different_pixels	frozen_max_channel_delta	candidate_output_observed	status
vulkan	gm-OverStroke-msaa	ffi-vulkan	msaa	fa31973b81e22eac01b57d06cbd6e490a1764d391598b28c399a0fcc209b93f2	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	dd170bdb427c0cc3b970ad846a437ecb9225aabfe12bdfcab914a8109db4d4d3	dd170bdb427c0cc3b970ad846a437ecb9225aabfe12bdfcab914a8109db4d4d3	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-batchedconvexpaths-clockwise-atomic	ffi-vulkan	clockwise-atomic	ac03c58dba7b9e1ee8497989abad2c921a532462b257f8851d4847ef410a1d9f	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	0e6b288fc17fbd5ece037e2f0b06e2787a0a8943164da6ecc361d9d511961361	0e6b288fc17fbd5ece037e2f0b06e2787a0a8943164da6ecc361d9d511961361	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-batchedconvexpaths-msaa	ffi-vulkan	msaa	ac03c58dba7b9e1ee8497989abad2c921a532462b257f8851d4847ef410a1d9f	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	4a00f97149237d0cb29c171097a3353d8c26e6b53d9fa360742d26ffbb026d07	4a00f97149237d0cb29c171097a3353d8c26e6b53d9fa360742d26ffbb026d07	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-batchedtriangulations-clockwise-atomic	ffi-vulkan	clockwise-atomic	8d3d4492081f0d18af05db200686d9d058973849194ff210945add839e552b81	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	ed055865703a9ddb8bca4f64e80438dec25e8491c35c08980c4e765e60bb2ad0	ed055865703a9ddb8bca4f64e80438dec25e8491c35c08980c4e765e60bb2ad0	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-batchedtriangulations-msaa	ffi-vulkan	msaa	8d3d4492081f0d18af05db200686d9d058973849194ff210945add839e552b81	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	1e3869c7fffc5f56f746df7b7fa0913c424c990762e0e29de7d86e19744d238a	1e3869c7fffc5f56f746df7b7fa0913c424c990762e0e29de7d86e19744d238a	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bevel180strokes-clockwise-atomic	ffi-vulkan	clockwise-atomic	cc4fef0527ba8375a67db882e40419eea17dcdfcc3b39d9f391f3b26a9454870	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	e5331222eac1791b73bf4522ed93ccd3eea0c229e7f259f84cfc51650ba5c672	c63c8199b09f501f25236e4541bba04dce2b967be2faf2eb2a2d4f0ba48a4605	0	1	0	1	false	frozen-source-repeatability
vulkan	gm-bevel180strokes-msaa	ffi-vulkan	msaa	cc4fef0527ba8375a67db882e40419eea17dcdfcc3b39d9f391f3b26a9454870	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	e8cafd9843bc3200f60670a8055cccb2b5d74f62cf9c14f130841dfbce8c2b72	e8cafd9843bc3200f60670a8055cccb2b5d74f62cf9c14f130841dfbce8c2b72	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-beziers-clockwise-atomic	ffi-vulkan	clockwise-atomic	e9bd8e055bcb868e82dd49c7ec09a6d66a13784b114a2fdc3a6130d1dcdd43fa	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	65f6ea4363ee13664210cfb841f8c4948a74d850bea8a3415dc8aa639eb846c4	0b963b19843a1735ec635e376de9422f3b7ac6aa1e6bafb43c4211f6e0297d82	0	1	0	1	false	frozen-source-repeatability
vulkan	gm-beziers-msaa	ffi-vulkan	msaa	e9bd8e055bcb868e82dd49c7ec09a6d66a13784b114a2fdc3a6130d1dcdd43fa	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	b79377179996fc355ba5896d88a0a81c05cccc412e70626d67f8c776a15bee34	b79377179996fc355ba5896d88a0a81c05cccc412e70626d67f8c776a15bee34	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug339297-clockwise-atomic	ffi-vulkan	clockwise-atomic	fe9ccc9f38dd7bb46d607e87b5e19174a2ce998888add515c14ea350c3667973	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	9f3dc0c0e22fab20c1a62b3320abc2d64c634346fb89ce6d0651ed228819d578	c7f34b1a6f018112428450f6ad197d6bce4df4079c5f569a74d120acf31d6ecb	0	1	0	1	false	frozen-source-repeatability
